Total consumido Coudlets;4.416861506139614E10
Coudlets averageEnergyHistoryDevice;3.067264934819176E8
Total consumido AP(AP DEVICES);28800.0
AP DEVICES averageEnergyHistoryDevice;100.0
SmartThing(0) Power;82.44
SmartThing(1) Power;82.44
SmartThing(2) Power;82.44
SmartThing(3) Power;82.44
SmartThing(4) Power;82.44
SmartThing(5) Power;82.44
SmartThing(6) Power;82.44
SmartThing(0) Energy Consumed;3.0165382565522856E8
SmartThing(1) Energy Consumed;5.9194239207318924E7
SmartThing(2) Energy Consumed;5.635282757083497E7
SmartThing(3) Energy Consumed;2.6102319582848707E8
SmartThing(4) Energy Consumed;2.5071052403131878E8
SmartThing(5) Energy Consumed;1.7608329458696967E8
SmartThing(6) Energy Consumed;2.3394973575293794E7
VM data transferred in migration;2688.0
getVMTransferredData / CloudSim.clock;7.421314191054666E-4
Device's network usage;3.91155012E8
deviceNetworkUsage / CloudSim.clock;107.99420541137494
Migration' network usage (total);2.9390040746349964E10
Migration' network usage (mean);2.099288624739283E9
getNetWorkUsageInMigration / CloudSim.clock;8114.312740571498
Total network usage;2.9781195758349964E10
getNetworkUsage() / CloudSim.clock);8222.306945982873
CloudSim.clock;3622000.0
Total of migrations;14
Total of handoff;46
Different Cloudlets reached along the user's path;46
Average of without connection;1057.7568646769573
Average of without Vm;428916.5901091672
Average of delay after new Connectionl472790.3140984381
Average of Time of Migrations;227474.65997731607
Hightest Time of Migrations;235212.30100530953
Average of Downtime;11373.732998865806
Max Downtime;69908.95110122657
Tuple lost;0.05941842983225128%
Tuple lost;5320
Total tuple;8953451
Total consumido Coudlets;4.440849624795535E10
Coudlets averageEnergyHistoryDevice;3.083923350552455E8
Total consumido AP(AP DEVICES);28800.0
AP DEVICES averageEnergyHistoryDevice;100.0
SmartThing(0) Power;82.44
SmartThing(1) Power;82.44
SmartThing(2) Power;82.44
SmartThing(3) Power;82.44
SmartThing(4) Power;82.44
SmartThing(5) Power;82.44
SmartThing(6) Power;82.44
SmartThing(7) Power;82.44
SmartThing(8) Power;82.44
SmartThing(0) Energy Consumed;3.006400418944168E8
SmartThing(1) Energy Consumed;5.901417634307796E7
SmartThing(2) Energy Consumed;5.623353241599916E7
SmartThing(3) Energy Consumed;2.6123616108988065E8
SmartThing(4) Energy Consumed;2.5063066394076464E8
SmartThing(5) Energy Consumed;1.7616009581824476E8
SmartThing(6) Energy Consumed;2.3429780682424027E7
SmartThing(7) Energy Consumed;3.3548550947731804E7
SmartThing(8) Energy Consumed;1.5390732770456725E8
VM data transferred in migration;3200.0
getVMTransferredData / CloudSim.clock;8.83489784649365E-4
Device's network usage;4.68388218E8
deviceNetworkUsage / CloudSim.clock;129.31756432909995
Migration' network usage (total);3.47026828584844E10
Migration' network usage (mean);2.0413342857931998E9
getNetWorkUsageInMigration / CloudSim.clock;9581.083064186747
Total network usage;3.51710710764844E10
getNetworkUsage() / CloudSim.clock);9710.400628515847
CloudSim.clock;3622000.0
Total of migrations;17
Total of handoff;58
Different Cloudlets reached along the user's path;58
Average of without connection;1062.0634350442263
Average of without Vm;421465.28936469153
Average of delay after new Connectionl473445.4739639471
Average of Time of Migrations;228834.01213408107
Hightest Time of Migrations;235212.4990455565
Average of Downtime;11441.700606704053
Max Downtime;81573.84081725289
Tuple lost;0.06418440713213627%
Tuple lost;7032
Total tuple;10955932
